Bank,Walk,Talk,Pace,Heart
31,28,24,27.67,24
30,23,23,25.33,29
29,24,18,23.67,31
28,28,23,26.33,26
27,22,30,26.33,26
26,25,24,25,20
30,26,24,26.67,17
28,30,21,26.33,19
33,22,18,24.33,26
33,22,22,25.67,24
22,23,23,22.67,26
30,25,20,25,25
32,23,23,26,14
29,18,25,24,11
25,27,27,26.33,19
24,22,14,20,24
27,23,24,24.67,20
26,22,24,24,13
24,23,25,24,20
31,12,19,20.67,18
27,23,17,22.33,16
28,20,18,22,19
21,20,17,19.33,23
19,22,18,19.67,11
34,14,22,23.33,27
24,20,23,22.33,18
25,17,19,20.33,15
25,26,19,23.33,20
20,19,22,20.33,18
22,23,23,22.67,21
26,13,22,20.33,11
29,16,21,22,14
25,17,18,20,19
22,17,15,18,15
24,16,10,16.67,18
13,20,12,15,16
